epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2562,1.76737,2.81056,2.0415,0.01678,1,0.50146,0.21305,1.48723,2.73092,1.82905,0.0001,0.0001,0.0001
2,167.974,1.28556,2.43407,1.6017,0.01678,1,0.81725,0.50506,1.08877,2.41362,1.27411,0.000217822,0.000217822,0.000217822
3,235.889,1.17788,1.99105,1.35525,0.01678,1,0.8305,0.50498,1.14085,2.36012,1.33268,0.000333268,0.000333268,0.000333268
4,308.124,1.17349,1.76338,1.34929,0.01678,1,0.89716,0.5941,1.03405,2.20131,1.34426,0.000446338,0.000446338,0.000446338
5,381.834,1.11197,1.50954,1.3449,0.62012,0.99338,0.95837,0.61112,1.13617,2.11374,1.39176,0.000557032,0.000557032,0.000557032
6,451.755,1.15593,1.33892,1.3613,0.9571,0.59108,0.92149,0.59628,1.09616,2.0305,1.50017,0.00066535,0.00066535,0.00066535
7,521.281,1.12191,1.13302,1.33993,0.8887,0.47593,0.88006,0.5291,1.27354,2.00904,1.68709,0.000771292,0.000771292,0.000771292
8,599.142,1.07279,1.11418,1.37043,0.84507,0.86696,0.91816,0.56861,1.27797,1.61893,1.77085,0.000874858,0.000874858,0.000874858
9,680.392,1.0934,1.02871,1.35265,0.87911,0.86688,0.93958,0.59732,1.2336,1.44455,1.88105,0.000976048,0.000976048,0.000976048
10,763.591,1.05692,0.96855,1.28966,0.93656,0.5298,0.82381,0.53617,1.27054,1.9099,1.68907,0.00107486,0.00107486,0.00107486
11,837.61,1.08295,0.97208,1.32969,0.8568,0.71326,0.86106,0.48852,1.39644,1.76114,1.84334,0.0011713,0.0011713,0.0011713
12,908.448,1.16409,0.99879,1.4252,0.82991,0.93708,0.93813,0.6375,1.07234,1.10583,1.46781,0.00126536,0.00126536,0.00126536
13,984.728,1.0403,0.88509,1.24783,0.76105,0.7947,0.82584,0.50775,1.16475,1.24628,1.53055,0.00135705,0.00135705,0.00135705
14,1056.73,1.1455,0.96476,1.37554,0.87525,0.90066,0.94371,0.60424,1.17466,1.07133,1.5811,0.00144636,0.00144636,0.00144636
15,1126.99,1.05854,0.96034,1.26411,0.84315,0.84768,0.89431,0.57479,1.25135,1.13618,1.69644,0.00153329,0.00153329,0.00153329
16,1197.13,1.15707,1.07503,1.47004,0.89462,0.89958,0.95043,0.65261,1.10033,0.94585,1.55889,0.00161785,0.00161785,0.00161785
17,1269.44,1.11134,0.88587,1.32462,0.88154,0.8543,0.91676,0.57441,1.22967,1.18125,1.70645,0.0016832,0.0016832,0.0016832
18,1338.61,1.11208,0.90575,1.3439,0.8722,0.83444,0.89783,0.60811,1.09359,1.31486,1.40304,0.0016634,0.0016634,0.0016634
19,1407.48,1.06752,0.87427,1.29053,0.87291,0.8188,0.89327,0.50972,1.32341,1.33239,1.70079,0.0016436,0.0016436,0.0016436
20,1477.31,1.08004,0.8622,1.28173,0.90916,0.86162,0.94002,0.64736,1.10781,1.1057,1.41388,0.0016238,0.0016238,0.0016238
21,1547.32,1.05042,0.90676,1.30347,0.9089,0.89404,0.93923,0.69003,1.01437,1.10477,1.30555,0.001604,0.001604,0.001604
22,1619.41,1.02771,0.81706,1.26843,0.87014,0.82781,0.91191,0.64884,1.06323,0.95495,1.31275,0.0015842,0.0015842,0.0015842
23,1688.73,1.04692,0.87631,1.30192,0.85362,0.81457,0.8897,0.63911,1.02082,1.05878,1.30754,0.0015644,0.0015644,0.0015644
24,1756.18,1.01089,0.81488,1.25806,0.94568,0.92715,0.97654,0.71777,0.96705,0.75059,1.24905,0.0015446,0.0015446,0.0015446
